model,huggingface_model,task,architecture,size_category,license,sample_size,accuracy,precision,recall,f1_score,avg_latency_seconds,total_inference_time_seconds,selection_reason
RoBERTa Large Sentiment,siebert/sentiment-roberta-large-english,sentiment-analysis,RoBERTa Large,Grande,No especificada claramente en la tarjeta del modelo,200,0.945,0.9375,0.963302752293578,0.9502262443438914,0.016512396335601805,3.303220748901367,"Modelo robusto para análisis de sentimiento en inglés, entrenado para generalizar en diferentes tipos de texto."
BERT SST-2,textattack/bert-base-uncased-SST-2,sentiment-analysis,BERT,Medio,No especificada claramente en la tarjeta del modelo,200,0.945,0.9537037037037037,0.944954128440367,0.9493087557603687,0.010961707830429077,2.193152904510498,"Modelo basado en BERT para clasificación de sentimiento en SST-2, útil como punto de comparación frente a arquitecturas ligeras."
DistilBERT SST-2,distilbert/distilbert-base-uncased-finetuned-sst-2-english,sentiment-analysis,DistilBERT,Ligero,Apache-2.0,200,0.935,0.9285714285714286,0.9541284403669725,0.9411764705882353,0.005023118257522583,1.0053064823150635,"Modelo ligero, entrenado específicamente para SST-2 y adecuado para prototipos rápidos con menor consumo de recursos."
